Institute Name,Institute Code,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCS,PCS,PR,Rank,Year,Institution Name,Institution Code,OE,Predicted_Rank
Calcutta University,IR-O-U-0570,16.59,24.03,14.41,7.23,17.66,19.41,8.0,2.03,60.0,31.54,3.29,30.0,685.0,20.0,37.39,12.0,2019,,,0.0,12.016033
Jadavpur University,IR-O-U-0575,17.38,18.45,12.27,6.29,23.7,24.43,3.0,3.76,57.22,33.06,3.49,20.29,117.0,20.0,51.83,13.0,2019,,,0.0,13.003904
Anna University,IR-O-U-0439,16.6,21.62,12.29,5.88,24.02,23.59,2.0,4.48,58.4,19.67,194.0,27.68,3.54,20.0,62.72,14.0,2019,,,0.0,13.988127
Amrita Vishwa Vidyapeetham,IR-O-U-0436,16.22,30.0,16.07,10.73,16.68,15.17,6.0,5.92,60.0,10.28,21.63,28.21,0.39,20.0,31.01,15.0,2019,,,0.0,14.992575
Manipal Academy of Higher Education,IR-O-U-0234,16.73,30.0,16.83,14.34,16.69,16.29,1.0,4.34,50.48,19.23,19.01,26.74,103.0,20.0,30.21,16.0,2019,,,0.0,16.004583
Savitribai Phule Pune University,IR-O-U-0323,14.77,24.72,14.27,15.49,19.56,20.04,2.0,2.82,60.0,26.04,2.99,27.12,6.22,18.0,16.55,17.0,2019,,,0.0,16.981825
Aligarh Muslim University,IR-O-U-0496,18.33,30.0,17.25,11.11,14.53,19.08,0.5,1.27,54.29,31.37,7.96,26.01,3.6,20.0,18.46,18.0,2019,,,0.0,17.999231
Jamia Millia Islamia,IR-O-U-0108,16.0,30.0,16.45,11.3,13.25,15.81,1.0,1.98,60.0,28.53,19.78,26.97,5.22,20.0,14.26,19.0,2019,,,0.0,18.991377
University of Delhi,IR-O-U-0120,18.07,12.54,8.34,8.91,21.35,26.35,3.0,3.1,47.18,40.0,10.5,24.58,0.33,20.0,41.11,20.0,2019,,,0.0,20.002096
Bharathiar University,IR-O-U-0447,8.93,30.0,18.94,9.06,22.41,20.89,0.5,1.24,60.0,16.53,3.69,30.0,2.42,16.0,31.2,21.0,2019,,,0.0,20.99671
Indian Institute of Technology Hyderabad,IR-O-U-0013,9.0,30.0,16.59,15.33,18.61,18.17,2.0,2.03,60.0,7.47,19.0,14.06,5.71,20.0,40.33,22.0,2019,,,0.0,21.975962
Indian Institute of Science Education & Research Pune,IR-O-U-0305,7.99,30.0,18.15,14.39,18.2,20.59,1.5,1.75,49.11,8.02,16.78,21.35,1.98,20.0,32.75,23.0,2019,,,0.0,23.00067
National Institute of Technology Tiruchirapalli,IR-O-U-0467,13.97,23.03,13.52,10.73,16.27,16.17,0.0,2.28,60.0,10.89,16.96,21.39,4.55,20.0,50.61,24.0,2019,,,0.0,24.100393
Indian Institute of Technology (Indian School of Mines) Dhanbad,IR-O-U-0205,14.65,17.7,11.83,10.54,22.26,23.04,1.5,4.18,58.64,17.36,22.03,6.23,5.16,6.0,25.54,25.0,2019,,,0.0,24.99854
